claim_id,policy_id,claim_date,incident_date,policy_start_date,policy_expiry_date,report_delay_days,vehicle_make,vehicle_model,vehicle_type,damage_type,damage_location,damage_severity,agent_channel,coverage_type,is_weekend_claim,has_prior_claims,car_driveable,vehicle_age_years,mileage,driver_age,prior_claims_count,customer_tenure_years,manufacture_year,typical_market_value_gbp,part_cost_index,vehicle_value,repair_estimate_gbp,repair_to_value_ratio,is_high_value_vehicle,pre_ml_decision,pre_ml_label,repair_decision,model_v1_score,model_v1_decision,model_v1_observed_outcome,model_v2a_score,model_v2a_decision,model_v2b_score,model_v2b_decision
CLM000058,POL003212,2023-11-30,2023-11-10,2020-04-03,2021-04-03,20,Toyota,Corolla,SUV,fire,side,minor,app,third_party,False,True,True,16,19260,58,0,14,2007,21226.57,0.85,2122.66,340.0,0.1602,False,,,sent_to_garage,0.8502,0,1,0.8503,0,0.815,0
CLM000064,POL004320,2022-10-05,2022-09-21,2017-06-01,2018-06-01,14,Ford,Kuga,Van,fire,side,minor,direct,comprehensive,False,True,True,14,60706,66,2,6,2008,28254.56,0.874,2825.46,349.6,0.1237,False,,,sent_to_garage,0.8811,0,0,0.1237,0,0.2893,0
CLM000065,POL003585,2023-12-05,2023-11-13,2015-12-12,2016-12-11,22,Ford,Focus,Hatchback,theft_damage,side,moderate,phone,comprehensive,False,True,False,18,37121,42,3,5,2005,18598.07,0.815,1859.81,1222.5,0.6573,False,,,sent_to_garage,0.6696,0,0,0.0548,0,0.0933,0
CLM000066,POL003126,2022-07-14,2022-07-09,2019-11-26,2020-11-25,5,Honda,HR-V,Estate,vandalism,roof,minor,broker,third_party_fire_theft,False,False,True,16,169078,48,3,3,2006,25986.28,0.908,2598.63,544.8,0.2096,False,,,sent_to_garage,0.1467,0,1,0.7018,0,0.4013,0
CLM000067,POL003158,2024-02-16,2024-01-17,2017-01-21,2018-01-21,30,Toyota,Camry,Motorbike,vandalism,front,moderate,phone,comprehensive,False,True,True,1,30985,70,2,4,2023,31252.01,0.887,28751.85,1774.0,0.0617,True,,,sent_to_garage,0.3346,0,0,0.0998,0,0.1264,0
CLM000070,POL002466,2024-12-29,2024-12-03,2021-05-19,2022-05-19,26,Ford,Fiesta,Motorbike,vandalism,roof,minor,broker,comprehensive,True,False,True,3,33325,36,1,15,2021,11963.47,0.736,9092.24,441.6,0.0486,False,,,sent_to_garage,0.0616,0,0,0.0159,0,0.0236,0
CLM000072,POL002307,2024-06-22,2024-06-22,2017-10-05,2018-10-05,0,Honda,CR-V,SUV,collision,front,moderate,broker,third_party,True,False,True,20,43888,46,0,18,2004,28632.53,0.915,2863.25,1830.0,0.6391,False,,,sent_to_garage,0.1884,0,0,0.066,0,0.1403,0
CLM000074,POL001321,2024-01-26,2023-12-31,2016-11-14,2017-11-14,26,Vauxhall,Corsa,Hatchback,flood,roof,minor,direct,third_party_fire_theft,False,True,False,10,76727,37,1,12,2014,13154.85,0.686,2630.97,411.6,0.1564,False,,,sent_to_garage,0.0385,0,0,0.0235,0,0.1022,0
CLM000075,POL000330,2024-06-12,2024-05-21,2022-11-18,2023-11-18,22,Honda,CR-V,Van,collision,roof,minor,phone,third_party,False,True,True,19,134917,17,2,17,2005,29471.81,0.945,2947.18,567.0,0.1924,False,,,sent_to_garage,0.3762,0,1,0.8189,0,0.6816,0
CLM000077,POL001658,2022-05-04,2022-04-14,2021-12-31,2022-12-31,20,Vauxhall,Corsa,Sedan,flood,side,moderate,app,comprehensive,False,False,False,3,57325,30,0,12,2019,13407.11,0.692,10189.4,1038.0,0.1019,False,,,sent_to_garage,0.0165,0,0,0.0862,0,0.0741,0
CLM000081,POL003752,2024-08-29,2024-08-05,2012-01-14,2013-01-13,24,Toyota,RAV4,SUV,theft_damage,rear,moderate,broker,third_party,False,False,True,19,78047,41,1,20,2005,31406.24,0.918,3140.62,1652.4,0.5261,False,,,sent_to_garage,0.2795,0,0,0.0877,0,0.0994,0
CLM000091,POL000861,2022-03-27,2022-03-22,2020-07-22,2021-07-22,5,Hyundai,i10,Estate,theft_damage,side,moderate,broker,comprehensive,True,True,True,6,194214,65,1,12,2016,12339.49,0.737,6416.53,1105.5,0.1723,False,,,sent_to_garage,0.1719,0,0,0.0581,0,0.1081,0
CLM000093,POL002520,2022-06-03,2022-05-21,2019-08-16,2020-08-15,13,Mercedes,C-Class,Hatchback,flood,multiple,severe,phone,third_party,False,False,False,13,54952,55,1,16,2009,41497.34,1.846,4149.73,14768.0,2.0,False,,,scrapped_by_model,0.9999,1,1,0.9999,1,0.9999,1
CLM000097,POL002044,2024-09-05,2024-08-28,2021-03-06,2022-03-06,8,BMW,5 Series,Hatchback,flood,rear,moderate,phone,comprehensive,False,True,True,13,119600,36,0,12,2011,43949.08,1.859,4394.91,3346.2,0.7614,False,,,sent_to_garage,0.2822,0,0,0.0509,0,0.1375,0
CLM000098,POL000495,2024-08-28,2024-08-08,2013-10-14,2014-10-14,20,Nissan,Micra,Motorbike,fire,roof,moderate,phone,comprehensive,False,False,True,20,141987,81,3,10,2004,13567.67,0.765,1356.77,1912.5,1.4096,False,,,scrapped_by_model,0.9997,1,1,0.9977,1,0.9992,1
CLM000100,POL005931,2022-05-07,2022-04-07,2018-07-02,2019-07-02,30,Honda,CR-V,SUV,vandalism,side,moderate,phone,third_party_fire_theft,True,True,True,18,45846,25,0,1,2004,28632.53,0.915,2863.25,1372.5,0.4794,False,,,sent_to_garage,0.168,0,0,0.0351,0,0.0458,0
CLM000106,POL004049,2022-03-19,2022-03-03,2020-05-18,2021-05-18,16,Audi,Q3,Sedan,fire,side,moderate,app,third_party,True,True,True,13,14943,34,1,14,2009,36585.23,1.762,3658.52,2643.0,0.7224,False,,,sent_to_garage,0.5157,0,1,0.8564,0,0.5336,0
CLM000107,POL002538,2023-04-25,2023-04-09,2020-02-16,2021-02-15,16,Audi,Q3,SUV,vandalism,multiple,severe,broker,third_party_fire_theft,False,False,True,19,109491,37,1,16,2004,35587.47,1.711,3558.75,13688.0,2.0,False,,,scrapped_by_model,0.9999,1,1,0.9997,1,1.0,1
CLM000109,POL000545,2023-04-12,2023-04-10,2015-03-12,2016-03-11,2,Toyota,RAV4,SUV,theft_damage,roof,severe,online,third_party_fire_theft,False,False,False,4,81378,17,0,12,2019,30434.33,0.884,20695.34,5304.0,0.2563,True,,,sent_to_garage,0.8967,0,0,0.0118,0,0.2396,0
CLM000110,POL005097,2023-07-22,2023-06-26,2021-10-03,2022-10-03,26,Ford,Kuga,Sedan,fire,multiple,severe,phone,comprehensive,True,False,True,8,67901,37,1,18,2015,27828.95,0.874,10018.42,6992.0,0.6979,False,,,sent_to_garage,0.8366,0,0,0.0803,0,0.302,0
CLM000115,POL000999,2024-01-15,2024-01-04,2018-09-12,2019-09-12,11,Volkswagen,Tiguan,Motorbike,theft_damage,rear,minor,phone,comprehensive,False,True,False,20,150858,40,1,0,2004,36006.56,1.079,3600.66,485.55,0.1349,False,,,sent_to_garage,0.151,0,0,0.1533,0,0.1588,0
CLM000117,POL004284,2022-11-03,2022-10-04,2013-03-27,2014-03-27,30,Vauxhall,Astra,Hatchback,fire,multiple,minor,direct,comprehensive,False,True,False,14,75455,37,1,16,2008,18347.57,0.735,1834.76,588.0,0.3205,False,,,sent_to_garage,0.4797,0,1,0.9566,0,0.7447,0
CLM000118,POL004063,2022-08-16,2022-07-20,2019-02-02,2020-02-02,27,Ford,Focus,Hatchback,vandalism,roof,minor,broker,comprehensive,False,False,True,3,138268,48,2,3,2019,18636.13,0.787,14163.46,472.2,0.0333,False,,,sent_to_garage,0.0805,0,0,0.0264,0,0.1844,0
CLM000120,POL003543,2024-09-29,2024-09-26,2024-07-17,2025-07-17,3,BMW,3 Series,Sedan,collision,front,minor,broker,comprehensive,True,True,True,0,76689,49,1,3,2024,36486.95,1.757,36486.95,878.5,0.0241,True,,,sent_to_garage,0.0672,0,0,0.0565,0,0.1327,0
CLM000121,POL003299,2023-03-02,2023-02-20,2017-10-26,2018-10-26,10,Honda,CR-V,Motorbike,collision,roof,moderate,online,comprehensive,False,True,True,16,144270,38,0,18,2007,29011.02,0.946,2901.1,2365.0,0.8152,False,,,sent_to_garage,0.9388,0,1,0.9815,0,0.9931,0
CLM000122,POL003670,2023-12-14,2023-12-05,2021-10-27,2022-10-27,9,Nissan,Qashqai,Van,fire,rear,minor,direct,comprehensive,False,True,True,4,168627,53,0,18,2019,28297.64,0.924,19242.4,415.8,0.0216,True,,,sent_to_garage,0.1661,0,0,0.1277,0,0.0981,0
CLM000125,POL000235,2024-07-26,2024-07-05,2021-01-01,2022-01-01,21,Honda,Civic,Estate,vandalism,roof,minor,app,third_party_fire_theft,False,True,True,3,171581,22,0,3,2021,22567.4,0.897,17151.22,538.2,0.0314,False,,,sent_to_garage,0.038,0,0,0.1462,0,0.1432,0
CLM000126,POL002790,2023-04-25,2023-04-09,2012-01-16,2013-01-15,16,Ford,Kuga,Sedan,vandalism,side,moderate,online,comprehensive,False,True,True,11,136197,32,1,2,2012,29225.91,0.904,3507.11,1356.0,0.3866,False,,,sent_to_garage,0.1554,0,0,0.1261,0,0.0594,0
CLM000132,POL005224,2024-04-26,2024-04-06,2019-09-05,2020-09-04,20,Audi,A3,Estate,flood,multiple,moderate,direct,comprehensive,False,False,True,9,77380,17,1,15,2015,30630.74,1.787,8576.61,6254.5,0.7293,False,,,sent_to_garage,0.2028,0,0,0.0142,0,0.0276,0
CLM000136,POL000129,2024-08-21,2024-07-27,2020-07-22,2021-07-22,25,BMW,X5,Hatchback,collision,side,minor,phone,comprehensive,False,True,False,3,69662,69,1,18,2021,62337.86,2.048,47376.77,819.2,0.0173,True,,,sent_to_garage,0.1163,0,1,0.7806,0,0.7878,0
CLM000144,POL003229,2024-03-01,2024-02-03,2024-01-28,2025-01-27,27,Volkswagen,Polo,Motorbike,fire,multiple,severe,direct,comprehensive,False,True,False,8,167597,60,0,19,2016,16751.7,0.926,6030.61,7408.0,1.2284,False,,,sent_to_garage,0.9984,0,1,0.9992,1,0.9958,0
CLM000148,POL002941,2023-03-15,2023-02-24,2015-08-21,2016-08-20,19,Audi,A3,Hatchback,collision,multiple,severe,online,comprehensive,False,False,False,7,143241,58,1,16,2016,31123.73,1.733,13694.44,13864.0,1.0124,False,,,scrapped_by_model,0.9999,1,1,0.9955,1,0.9993,1
CLM000151,POL004666,2022-03-17,2022-03-03,2021-09-21,2022-09-21,14,Mercedes,E-Class,Estate,fire,rear,minor,app,comprehensive,False,True,True,16,40438,45,1,0,2006,54266.55,2.04,5426.66,918.0,0.1692,False,,,sent_to_garage,0.1452,0,1,0.781,0,0.3762,0
CLM000152,POL005061,2022-09-16,2022-08-28,2022-07-27,2023-07-27,19,Honda,CR-V,Van,vandalism,multiple,moderate,direct,comprehensive,False,True,False,4,21037,55,0,19,2018,29853.14,0.924,20300.14,3234.0,0.1593,True,,,sent_to_garage,0.1514,0,0,0.0208,0,0.0975,0
CLM000158,POL003724,2022-06-18,2022-05-30,2012-06-09,2013-06-09,19,Nissan,Qashqai,Sedan,collision,multiple,severe,direct,comprehensive,True,False,True,12,20779,31,1,1,2010,26827.23,0.874,2682.72,6992.0,2.0,False,,,scrapped_by_model,0.9995,1,1,0.999,1,0.9999,1
CLM000160,POL004341,2022-06-04,2022-06-02,2012-09-10,2013-09-10,2,Audi,A3,Hatchback,collision,rear,minor,phone,comprehensive,True,True,True,3,114670,58,0,14,2019,31320.06,1.791,23803.25,805.95,0.0339,True,,,sent_to_garage,0.6561,0,0,0.021,0,0.1094,0
CLM000163,POL001300,2024-10-31,2024-10-15,2023-05-20,2024-05-19,16,Nissan,Micra,Motorbike,collision,rear,moderate,broker,comprehensive,False,False,True,1,9642,26,3,15,2023,12630.14,0.791,11619.73,1423.8,0.1225,False,,,sent_to_garage,0.0405,0,0,0.0145,0,0.0684,0
CLM000168,POL004564,2024-08-12,2024-07-20,2014-11-30,2015-11-30,23,Mercedes,E-Class,SUV,flood,front,minor,phone,third_party_fire_theft,False,True,True,7,219,17,0,10,2017,53779.2,2.053,23662.85,1026.5,0.0434,True,,,sent_to_garage,0.0272,0,0,0.0017,0,0.0321,0
CLM000172,POL002909,2023-04-13,2023-03-19,2018-04-19,2019-04-19,25,Mercedes,A-Class,Van,collision,roof,moderate,broker,third_party_fire_theft,False,False,False,16,19669,52,1,8,2007,28657.73,1.848,2865.77,4620.0,1.6121,False,,,scrapped_by_model,0.9989,1,1,0.9998,1,0.9999,1
CLM000174,POL005384,2022-04-09,2022-04-05,2021-12-15,2022-12-15,4,BMW,1 Series,Estate,theft_damage,multiple,severe,app,comprehensive,True,True,True,1,9477,27,1,0,2021,28296.84,1.738,26033.09,13904.0,0.5341,True,,,sent_to_garage,0.1242,0,0,0.1052,0,0.0684,0
CLM000175,POL000930,2024-01-18,2024-01-06,2023-12-29,2024-12-28,12,Audi,A6,Van,flood,rear,minor,online,third_party,False,False,True,2,107454,41,0,15,2022,45694.88,1.88,38383.7,846.0,0.022,True,,,sent_to_garage,0.0429,0,0,0.0146,0,0.076,0
CLM000176,POL000254,2023-06-19,2023-05-27,2013-11-18,2014-11-18,23,Hyundai,i30,Van,vandalism,roof,moderate,phone,comprehensive,False,False,True,12,178139,41,1,5,2011,20771.41,0.806,2077.14,2015.0,0.9701,False,,,sent_to_garage,0.9978,0,1,0.9995,1,0.9907,0
CLM000177,POL002457,2022-06-30,2022-06-27,2016-02-18,2017-02-17,3,Mercedes,GLC,SUV,collision,front,minor,broker,third_party_fire_theft,False,True,False,4,68197,40,0,8,2018,46684.46,1.943,31745.43,971.5,0.0306,True,,,sent_to_garage,0.1138,0,0,0.0106,0,0.0544,0
CLM000182,POL005045,2022-01-01,2021-12-23,2019-07-21,2020-07-20,9,Audi,Q3,Sedan,collision,front,minor,direct,comprehensive,True,False,True,9,113727,46,3,13,2013,33331.3,1.74,9332.76,870.0,0.0932,False,,,sent_to_garage,0.1411,0,1,0.7729,0,0.5046,0
CLM000183,POL002930,2023-01-29,2023-01-25,2017-06-26,2018-06-26,4,Vauxhall,Corsa,Sedan,flood,roof,minor,app,comprehensive,True,False,True,14,52786,25,0,6,2009,12594.82,0.68,1259.48,408.0,0.3239,False,,,sent_to_garage,0.0107,0,0,0.0919,0,0.1711,0
CLM000190,POL001483,2023-10-26,2023-10-09,2014-01-26,2015-01-26,17,Mercedes,C-Class,Estate,theft_damage,multiple,moderate,app,comprehensive,False,False,True,16,91779,33,0,1,2007,41179.0,1.938,4117.9,6783.0,1.6472,False,,,scrapped_by_model,0.9998,1,1,0.9995,1,0.9998,1
CLM000193,POL000694,2022-10-06,2022-09-07,2013-09-23,2014-09-23,29,Mercedes,GLC,Van,collision,multiple,minor,app,third_party,False,True,True,20,94636,49,0,15,2002,,,,,,False,,,sent_to_garage,0.7388,0,0,0.1025,0,0.2977,0
CLM000195,POL000866,2023-10-13,2023-09-16,2022-01-25,2023-01-25,27,Toyota,Yaris,SUV,theft_damage,side,minor,direct,third_party_fire_theft,False,True,True,0,163463,53,3,1,2023,15426.12,0.807,15426.12,322.8,0.0209,False,,,sent_to_garage,0.0247,0,0,0.0078,0,0.0466,0
CLM000196,POL001013,2024-09-24,2024-09-06,2015-09-09,2016-09-08,18,Vauxhall,Astra,Van,fire,front,minor,online,third_party_fire_theft,False,True,True,7,103303,50,2,4,2017,18605.24,0.728,8186.31,364.0,0.0445,False,,,sent_to_garage,0.0405,0,0,0.0754,0,0.0204,0
CLM000197,POL003385,2024-08-17,2024-07-28,2023-12-14,2024-12-13,20,Nissan,Micra,Sedan,fire,rear,moderate,online,third_party_fire_theft,True,True,True,18,163471,41,1,15,2006,13025.41,0.78,1302.54,1404.0,1.0779,False,,,scrapped_by_model,0.9996,1,1,0.9951,1,0.9991,1
CLM000202,POL006141,2024-10-09,2024-09-20,2012-12-26,2013-12-26,19,Audi,Q3,Motorbike,theft_damage,front,severe,direct,comprehensive,False,True,False,20,105558,49,0,13,2004,35587.47,1.711,3558.75,8555.0,2.0,False,,,scrapped_by_model,1.0,1,1,0.9997,1,0.9999,1
CLM000203,POL002828,2022-11-13,2022-11-06,2021-03-17,2022-03-17,7,BMW,3 Series,Sedan,collision,rear,minor,app,comprehensive,True,False,True,14,46263,57,0,7,2008,33761.61,1.835,3376.16,825.75,0.2446,False,,,sent_to_garage,0.2398,0,0,0.1319,0,0.185,0
CLM000204,POL000813,2022-12-09,2022-11-27,2022-09-15,2023-09-15,12,Vauxhall,Mokka,Sedan,fire,side,minor,direct,comprehensive,False,True,False,16,107413,30,1,11,2006,21106.96,0.819,2110.7,327.6,0.1552,False,,,sent_to_garage,0.2763,0,1,0.8892,0,0.5713,0
CLM000206,POL001297,2024-06-05,2024-05-13,2015-11-30,2016-11-29,23,BMW,X3,Estate,collision,rear,moderate,broker,third_party_fire_theft,False,True,False,14,151688,46,0,10,2010,48432.36,1.805,4843.24,3249.0,0.6708,False,,,sent_to_garage,0.4454,0,0,0.0421,0,0.1761,0
CLM000207,POL000745,2024-04-12,2024-03-27,2020-10-26,2021-10-26,16,Audi,Q3,Hatchback,theft_damage,front,moderate,broker,comprehensive,False,True,True,15,64979,70,1,14,2009,36585.23,1.762,3658.52,3524.0,0.9632,False,,,scrapped_by_model,0.9994,1,1,0.9883,0,0.9882,0
CLM000208,POL003827,2023-04-05,2023-04-05,2022-07-03,2023-07-03,0,Toyota,Camry,Motorbike,collision,side,moderate,online,comprehensive,False,False,True,7,180293,67,2,9,2016,29515.37,0.898,12986.76,1347.0,0.1037,False,,,sent_to_garage,0.189,0,0,0.0712,0,0.1473,0
CLM000209,POL000688,2023-05-01,2023-04-10,2015-04-01,2016-03-31,21,Volkswagen,Passat,SUV,fire,rear,minor,online,comprehensive,False,True,True,5,138657,55,0,20,2018,29224.12,1.039,17534.47,467.55,0.0267,False,,,sent_to_garage,0.0144,0,1,0.8002,0,0.355,0
CLM000213,POL001129,2022-12-02,2022-11-24,2022-10-11,2023-10-11,8,Vauxhall,Corsa,SUV,fire,roof,minor,direct,third_party_fire_theft,False,True,True,13,44007,37,1,1,2009,12594.82,0.68,1259.48,408.0,0.3239,False,,,sent_to_garage,0.2002,0,1,0.8856,0,0.6912,0
CLM000216,POL004173,2024-07-10,2024-07-03,2020-08-10,2021-08-10,7,Hyundai,Tucson,Estate,theft_damage,rear,moderate,phone,comprehensive,False,True,True,11,49092,37,1,17,2013,27329.97,0.862,3279.6,1551.6,0.4731,False,,,sent_to_garage,0.0458,0,0,0.0674,0,0.0733,0
CLM000218,POL000699,2023-09-29,2023-09-15,2020-01-22,2021-01-21,14,Vauxhall,Mokka,Van,vandalism,side,moderate,broker,comprehensive,False,False,True,17,115193,39,3,17,2006,21106.96,0.819,2110.7,1228.5,0.582,False,,,sent_to_garage,0.3742,0,1,0.7254,0,0.6675,0
CLM000225,POL001618,2023-04-30,2023-04-02,2018-08-08,2019-08-08,28,Nissan,Juke,Hatchback,theft_damage,rear,minor,phone,comprehensive,True,False,True,11,110906,61,2,16,2012,19294.85,0.838,2315.38,377.1,0.1629,False,,,sent_to_garage,0.2558,0,0,0.0538,0,0.0834,0
CLM000228,POL003136,2023-09-30,2023-09-02,2016-10-10,2017-10-10,28,Honda,HR-V,Estate,theft_damage,roof,moderate,broker,comprehensive,True,True,False,11,67922,49,3,4,2012,24285.23,0.878,2914.23,2195.0,0.7532,False,,,sent_to_garage,0.0573,0,0,0.0763,0,0.121,0
CLM000234,POL003366,2024-06-26,2024-06-24,2016-08-31,2017-08-31,2,Volkswagen,Polo,Sedan,collision,roof,moderate,online,comprehensive,False,False,True,2,21228,46,0,3,2022,16764.67,0.895,14082.32,2237.5,0.1589,False,,,sent_to_garage,0.1296,0,0,0.0243,0,0.0625,0
CLM000256,POL004213,2024-07-20,2024-07-15,2019-02-13,2020-02-13,5,Vauxhall,Insignia,Sedan,theft_damage,roof,moderate,broker,comprehensive,True,True,False,20,134150,76,0,8,2004,26088.45,0.848,2608.85,2120.0,0.8126,False,,,sent_to_garage,0.7899,0,1,0.991,0,0.926,0
CLM000257,POL004611,2022-01-04,2021-12-10,2016-01-29,2017-01-28,25,Honda,HR-V,Van,vandalism,roof,minor,phone,comprehensive,False,False,True,2,12370,23,1,0,2020,23999.58,0.879,20159.65,527.4,0.0262,True,,,sent_to_garage,0.0468,0,0,0.0107,0,0.0394,0
CLM000261,POL000826,2024-02-24,2024-02-12,2016-12-12,2017-12-12,12,Nissan,Juke,Hatchback,vandalism,multiple,minor,phone,third_party_fire_theft,True,False,True,4,174347,41,2,1,2020,19934.97,0.844,13555.78,675.2,0.0498,False,,,sent_to_garage,0.3991,0,1,0.9518,0,0.7057,0
CLM000262,POL004657,2023-12-01,2023-11-07,2016-05-14,2017-05-14,24,Toyota,RAV4,Hatchback,flood,roof,severe,phone,third_party,False,False,False,20,31702,29,1,19,2003,,,,,,False,,,sent_to_garage,0.9869,0,0,0.0831,0,0.5963,0
CLM000263,POL001753,2022-12-07,2022-11-16,2021-10-08,2022-10-08,21,Toyota,Yaris,Motorbike,collision,front,minor,phone,comprehensive,False,False,True,10,163689,46,0,2,2012,14437.39,0.8,2887.48,400.0,0.1385,False,,,sent_to_garage,0.2368,0,0,0.153,0,0.1583,0
CLM000268,POL000868,2023-08-08,2023-07-24,2014-12-22,2015-12-22,15,Audi,Q3,Estate,theft_damage,front,severe,broker,third_party,False,True,False,9,21127,34,1,14,2014,36312.88,1.762,10167.61,8810.0,0.8665,False,,,sent_to_garage,0.9389,0,1,0.991,0,0.975,0
CLM000274,POL003338,2022-08-14,2022-08-13,2012-01-24,2013-01-23,1,Mercedes,E-Class,Estate,flood,roof,moderate,phone,comprehensive,True,False,True,8,94096,25,2,6,2014,54414.74,1.951,19589.31,4877.5,0.249,True,,,sent_to_garage,0.038,0,0,0.0094,0,0.065,0
CLM000276,POL002223,2022-02-17,2022-02-10,2012-07-20,2013-07-20,7,Mercedes,C-Class,Sedan,fire,front,minor,phone,comprehensive,False,False,True,19,75705,40,2,17,2003,,,,,,False,,,sent_to_garage,0.6095,0,1,0.6902,0,0.5366,0
CLM000277,POL001796,2022-03-21,2022-03-21,2020-08-06,2021-08-06,0,Hyundai,Tucson,Hatchback,fire,side,moderate,online,comprehensive,False,True,False,3,37123,24,0,4,2019,29147.43,0.869,22152.05,1303.5,0.0588,True,,,sent_to_garage,0.0477,0,0,0.0643,0,0.1016,0
