vehicle_make,vehicle_model,manufacture_year,typical_market_value_gbp,part_cost_index
Ford,Kuga,2011,27962.64,0.899
Ford,Kuga,2012,29225.91,0.904
Ford,Kuga,2013,27925.77,0.887
Ford,Kuga,2014,27528.39,0.901
Ford,Kuga,2015,27828.95,0.874
Ford,Kuga,2016,28913.62,0.921
Ford,Kuga,2017,26992.7,0.903
Ford,Kuga,2018,26904.01,0.909
Ford,Kuga,2019,27387.45,0.909
Ford,Kuga,2020,28635.58,0.915
Ford,Kuga,2021,26901.67,0.922
Ford,Kuga,2022,27244.6,0.875
Ford,Kuga,2023,28153.59,0.893
Ford,Kuga,2024,28923.41,0.917
Ford,Transit,2004,29451.42,0.976
Ford,Transit,2005,29372.75,0.951
Ford,Transit,2006,29267.9,0.975
Ford,Transit,2007,28993.82,0.924
Ford,Transit,2008,29805.29,0.978
Ford,Transit,2009,31175.03,0.964
Ford,Transit,2010,31172.38,0.972
Ford,Transit,2011,30056.58,0.94
Ford,Transit,2012,30816.04,0.959
Ford,Transit,2013,29620.97,0.927
Ford,Transit,2014,30740.37,0.936
Ford,Transit,2015,31310.44,0.935
Ford,Transit,2016,28868.27,0.969
Ford,Transit,2017,28959.85,0.932
Ford,Transit,2018,30298.15,0.971
Ford,Transit,2019,29089.3,0.939
Ford,Transit,2020,30832.21,0.977
Ford,Transit,2021,30002.22,0.93
Ford,Transit,2022,28541.81,0.935
Ford,Transit,2023,28895.47,0.96
Ford,Transit,2024,28865.5,0.95
BMW,1 Series,2004,28543.93,1.708
BMW,1 Series,2005,27159.37,1.731
BMW,1 Series,2006,28603.14,1.724
BMW,1 Series,2007,26966.96,1.662
BMW,1 Series,2008,29197.18,1.69
BMW,1 Series,2009,27442.66,1.699
BMW,1 Series,2010,28456.02,1.746
BMW,1 Series,2011,27402.05,1.743
BMW,1 Series,2012,26669.61,1.706
BMW,1 Series,2013,28375.13,1.66
BMW,1 Series,2014,26992.95,1.692
BMW,1 Series,2015,29305.45,1.71
BMW,1 Series,2016,29212.47,1.731
BMW,1 Series,2017,27908.67,1.729
BMW,1 Series,2018,26649.94,1.66
BMW,1 Series,2019,28922.4,1.73
BMW,1 Series,2020,27251.39,1.703
BMW,1 Series,2021,28296.84,1.738
BMW,1 Series,2022,28288.7,1.691
BMW,1 Series,2023,27647.72,1.692
BMW,1 Series,2024,28425.41,1.737
BMW,3 Series,2004,34838.64,1.773
BMW,3 Series,2005,34078.32,1.827
BMW,3 Series,2006,36107.99,1.757
BMW,3 Series,2007,33482.96,1.81
BMW,3 Series,2008,33761.61,1.835
BMW,3 Series,2009,34336.17,1.762
BMW,3 Series,2010,36473.4,1.764
BMW,3 Series,2011,34246.52,1.763
BMW,3 Series,2012,33654.22,1.748
BMW,3 Series,2013,33443.88,1.765
BMW,3 Series,2014,33436.84,1.81
BMW,3 Series,2015,35632.5,1.789
BMW,3 Series,2016,34362.97,1.8
BMW,3 Series,2017,36312.52,1.838
BMW,3 Series,2018,33402.16,1.766
BMW,3 Series,2019,34078.61,1.773
BMW,3 Series,2020,35249.31,1.791
BMW,3 Series,2021,33422.39,1.786
BMW,3 Series,2022,35083.14,1.757
BMW,3 Series,2023,36167.1,1.752
BMW,3 Series,2024,36486.95,1.757
BMW,5 Series,2004,46546.09,1.946
BMW,5 Series,2005,47158.07,1.934
BMW,5 Series,2006,46257.65,1.916
BMW,5 Series,2007,46255.48,1.858
BMW,5 Series,2008,45162.31,1.902
BMW,5 Series,2009,46609.07,1.896
BMW,5 Series,2010,44482.9,1.916
BMW,5 Series,2011,43949.08,1.859
BMW,5 Series,2012,44900.45,1.891
BMW,5 Series,2013,43796.56,1.885
BMW,5 Series,2014,44398.77,1.88
BMW,5 Series,2015,44457.59,1.921
BMW,5 Series,2016,44085.94,1.951
BMW,5 Series,2017,46873.57,1.898
BMW,5 Series,2018,44227.63,1.904
BMW,5 Series,2019,46568.52,1.917
BMW,5 Series,2020,46369.76,1.904
BMW,5 Series,2021,45598.13,1.876
BMW,5 Series,2022,46057.02,1.866
BMW,5 Series,2023,45876.59,1.941
BMW,5 Series,2024,43344.46,1.913
BMW,X3,2004,46056.46,1.875
BMW,X3,2005,46005.57,1.898
BMW,X3,2006,46259.56,1.901
BMW,X3,2007,49444.24,1.86
BMW,X3,2008,49356.6,1.883
BMW,X3,2009,50140.93,1.823
BMW,X3,2010,48432.36,1.805
BMW,X3,2011,48557.6,1.814
BMW,X3,2012,48311.76,1.858
BMW,X3,2013,47836.73,1.853
BMW,X3,2014,49266.83,1.883
BMW,X3,2015,47962.34,1.861
BMW,X3,2016,50069.93,1.808
BMW,X3,2017,46162.1,1.804
BMW,X3,2018,48757.74,1.841
BMW,X3,2019,49316.74,1.869
BMW,X3,2020,47201.46,1.894
BMW,X3,2021,49260.15,1.825
BMW,X3,2022,47348.12,1.829
BMW,X3,2023,46356.54,1.811
BMW,X3,2024,50093.41,1.843
BMW,X5,2004,64241.58,2.028
BMW,X5,2005,65344.45,2.052
BMW,X5,2006,66821.96,1.998
BMW,X5,2007,64196.34,2.058
BMW,X5,2008,66415.44,2.054
BMW,X5,2009,62520.11,2.042
BMW,X5,2010,65890.98,1.955
BMW,X5,2011,65573.68,2.022
BMW,X5,2012,61829.97,1.995
BMW,X5,2013,67115.1,1.975
BMW,X5,2014,64730.56,1.993
BMW,X5,2015,63712.53,2.05
BMW,X5,2016,66828.41,1.953
BMW,X5,2017,68230.73,2.046
BMW,X5,2018,63595.4,2.04
BMW,X5,2019,62441.73,2.06
BMW,X5,2020,66076.95,2.018
BMW,X5,2021,62337.86,2.048
BMW,X5,2022,61938.5,1.969
BMW,X5,2023,62679.64,2.033
BMW,X5,2024,63038.33,2.049
Toyota,Yaris,2004,15234.4,0.778
Toyota,Yaris,2005,14258.14,0.778
Toyota,Yaris,2006,15158.89,0.814
Toyota,Yaris,2007,14607.83,0.817
Toyota,Yaris,2008,14335.85,0.814
Toyota,Yaris,2009,15641.69,0.813
Toyota,Yaris,2010,15297.18,0.816
Toyota,Yaris,2011,14310.23,0.786
Toyota,Yaris,2012,14437.39,0.8
Toyota,Yaris,2013,15367.78,0.806
Toyota,Yaris,2014,15526.7,0.783
Toyota,Yaris,2015,15351.93,0.785
Toyota,Yaris,2016,14656.14,0.81
Toyota,Yaris,2017,15720.31,0.805
Toyota,Yaris,2018,14331.75,0.806
Toyota,Yaris,2019,14313.53,0.818
Toyota,Yaris,2020,15314.37,0.784
Toyota,Yaris,2021,14387.58,0.785
Toyota,Yaris,2022,15720.04,0.798
Toyota,Yaris,2023,15426.12,0.807
Toyota,Yaris,2024,15108.62,0.783
Toyota,Corolla,2004,22981.25,0.84
Toyota,Corolla,2005,22171.64,0.86
Toyota,Corolla,2006,22328.31,0.872
Toyota,Corolla,2007,21226.57,0.85
Toyota,Corolla,2008,21788.88,0.849
Toyota,Corolla,2009,21162.28,0.831
Toyota,Corolla,2010,21511.77,0.84
Toyota,Corolla,2011,21841.39,0.856
Toyota,Corolla,2012,22296.18,0.846
Toyota,Corolla,2013,21799.32,0.836
Toyota,Corolla,2014,22194.27,0.841
Toyota,Corolla,2015,20979.33,0.846
Toyota,Corolla,2016,21943.09,0.836
Toyota,Corolla,2017,22159.41,0.853
Toyota,Corolla,2018,22444.4,0.858
Toyota,Corolla,2019,22335.35,0.841
Toyota,Corolla,2020,22632.35,0.853
Toyota,Corolla,2021,21849.12,0.856
Toyota,Corolla,2022,21693.45,0.851
Toyota,Corolla,2023,22520.75,0.87
Toyota,Corolla,2024,22926.33,0.85
Toyota,RAV4,2004,32064.88,0.916
Toyota,RAV4,2005,31406.24,0.918
Toyota,RAV4,2006,31981.25,0.879
Toyota,RAV4,2007,30630.59,0.918
Toyota,RAV4,2008,30577.82,0.888
Toyota,RAV4,2009,31469.22,0.882
Toyota,RAV4,2010,31404.46,0.913
Toyota,RAV4,2011,30446.99,0.918
Toyota,RAV4,2012,33140.95,0.893
Toyota,RAV4,2013,30891.56,0.905
Toyota,RAV4,2014,30782.95,0.893
Toyota,RAV4,2015,33466.97,0.927
Toyota,RAV4,2016,32870.74,0.89
Toyota,RAV4,2017,32600.53,0.911
Toyota,RAV4,2018,31641.09,0.908
Toyota,RAV4,2019,30434.33,0.884
Toyota,RAV4,2020,32080.28,0.882
Toyota,RAV4,2021,30930.9,0.918
Toyota,RAV4,2022,33565.23,0.903
Toyota,RAV4,2023,33085.02,0.926
Toyota,RAV4,2024,30853.11,0.897
Toyota,Camry,2004,29677.72,0.858
Toyota,Camry,2005,30765.99,0.877
Toyota,Camry,2006,29907.98,0.862
Toyota,Camry,2007,29042.78,0.901
Toyota,Camry,2008,28633.95,0.866
Toyota,Camry,2009,29376.18,0.879
Toyota,Camry,2010,30259.34,0.88
Toyota,Camry,2011,28752.35,0.866
Toyota,Camry,2012,31030.77,0.887
Toyota,Camry,2013,30447.45,0.889
Toyota,Camry,2014,30788.71,0.857
Toyota,Camry,2015,29599.83,0.882
Toyota,Camry,2016,29515.37,0.898
Toyota,Camry,2017,29947.72,0.894
Toyota,Camry,2018,31056.05,0.88
Toyota,Camry,2019,31228.66,0.885
Toyota,Camry,2020,31050.82,0.872
Toyota,Camry,2021,29996.45,0.882
Toyota,Camry,2022,28814.94,0.875
Toyota,Camry,2023,31252.01,0.887
Toyota,Camry,2024,29032.52,0.871
Volkswagen,Polo,2004,15506.56,0.874
Volkswagen,Polo,2005,16683.94,0.897
Volkswagen,Polo,2006,15692.06,0.905
Volkswagen,Polo,2007,15211.7,0.888
Volkswagen,Polo,2008,16324.85,0.907
Volkswagen,Polo,2009,16770.89,0.906
Volkswagen,Polo,2010,15964.01,0.914
Volkswagen,Polo,2011,16645.32,0.912
Volkswagen,Polo,2012,16741.14,0.915
Volkswagen,Polo,2013,16586.88,0.879
Volkswagen,Polo,2014,16371.86,0.897
Volkswagen,Polo,2015,16084.97,0.908
Volkswagen,Polo,2016,16751.7,0.926
Volkswagen,Polo,2017,15661.17,0.913
Volkswagen,Polo,2018,16399.97,0.892
Volkswagen,Polo,2019,15398.19,0.875
Volkswagen,Polo,2020,16443.75,0.899
Volkswagen,Polo,2021,16776.86,0.898
Volkswagen,Polo,2022,16764.67,0.895
Volkswagen,Polo,2023,16469.89,0.878
Volkswagen,Polo,2024,16088.74,0.916
Volkswagen,Golf,2004,26061.75,1.019
Volkswagen,Golf,2005,23842.43,0.992
Volkswagen,Golf,2006,23871.75,0.977
Volkswagen,Golf,2007,25438.26,1.013
Volkswagen,Golf,2008,25684.3,1.022
Volkswagen,Golf,2009,25598.58,1.018
Volkswagen,Golf,2010,23872.41,0.984
Volkswagen,Golf,2011,25304.74,1.021
Volkswagen,Golf,2012,23761.25,1.001
Volkswagen,Golf,2013,25443.22,0.972
Volkswagen,Golf,2014,24753.39,1.024
Volkswagen,Golf,2015,25429.03,0.984
Volkswagen,Golf,2016,25881.95,0.991
Volkswagen,Golf,2017,25883.36,0.988
Volkswagen,Golf,2018,25225.8,0.994
Volkswagen,Golf,2019,24437.06,1.023
Volkswagen,Golf,2020,24218.98,0.975
Volkswagen,Golf,2021,24604.82,1.013
Volkswagen,Golf,2022,25768.58,1.03
Volkswagen,Golf,2023,24490.91,0.994
Volkswagen,Golf,2024,24092.05,1.004
Volkswagen,Passat,2004,31492.74,1.063
Volkswagen,Passat,2005,30285.64,1.043
Volkswagen,Passat,2006,31245.9,1.05
Volkswagen,Passat,2007,28903.1,1.042
Volkswagen,Passat,2008,28701.5,1.031
Volkswagen,Passat,2009,28553.01,1.047
Volkswagen,Passat,2010,30403.62,1.04
Volkswagen,Passat,2011,29761.15,1.079
Volkswagen,Passat,2012,30755.89,1.053
Volkswagen,Passat,2013,29353.62,1.075
Volkswagen,Passat,2014,29205.29,1.039
Volkswagen,Passat,2015,31227.19,1.052
Volkswagen,Passat,2016,30726.95,1.056
Volkswagen,Passat,2017,30460.32,1.037
Volkswagen,Passat,2018,29224.12,1.039
Volkswagen,Passat,2019,28966.32,1.074
Volkswagen,Passat,2020,29349.74,1.054
Volkswagen,Passat,2021,30875.92,1.068
Volkswagen,Passat,2022,29815.16,1.049
Volkswagen,Passat,2023,31484.11,1.061
Volkswagen,Passat,2024,30943.92,1.075
Volkswagen,Tiguan,2004,36006.56,1.079
Volkswagen,Tiguan,2005,35217.6,1.074
Volkswagen,Tiguan,2006,35535.23,1.13
Volkswagen,Tiguan,2007,35044.56,1.096
Volkswagen,Tiguan,2008,33375.45,1.13
Volkswagen,Tiguan,2009,33610.51,1.07
Volkswagen,Tiguan,2010,34111.23,1.071
Volkswagen,Tiguan,2011,34842.91,1.101
Volkswagen,Tiguan,2012,34343.99,1.07
Volkswagen,Tiguan,2013,33640.6,1.092
Volkswagen,Tiguan,2014,33461.85,1.113
Volkswagen,Tiguan,2015,33974.57,1.087
Volkswagen,Tiguan,2016,34629.44,1.094
Volkswagen,Tiguan,2017,33255.81,1.074
Volkswagen,Tiguan,2018,36269.68,1.067
Volkswagen,Tiguan,2019,35028.59,1.099
Volkswagen,Tiguan,2020,34415.83,1.095
Volkswagen,Tiguan,2021,35982.03,1.123
Volkswagen,Tiguan,2022,34161.22,1.088
Volkswagen,Tiguan,2023,34098.69,1.099
Volkswagen,Tiguan,2024,35641.4,1.082
Vauxhall,Corsa,2004,12779.96,0.718
Vauxhall,Corsa,2005,12413.14,0.698
Vauxhall,Corsa,2006,13275.03,0.685
Vauxhall,Corsa,2007,12411.59,0.685
Vauxhall,Corsa,2008,13544.47,0.679
Vauxhall,Corsa,2009,12594.82,0.68
Vauxhall,Corsa,2010,12493.82,0.705
Vauxhall,Corsa,2011,12664.13,0.703
Vauxhall,Corsa,2012,13117.25,0.715
Vauxhall,Corsa,2013,12356.16,0.715
Vauxhall,Corsa,2014,13154.85,0.686
Vauxhall,Corsa,2015,13354.82,0.715
Vauxhall,Corsa,2016,12680.54,0.718
Vauxhall,Corsa,2017,12940.79,0.704
Vauxhall,Corsa,2018,13630.04,0.694
Vauxhall,Corsa,2019,13407.11,0.692
Vauxhall,Corsa,2020,13388.98,0.704
Vauxhall,Corsa,2021,12631.26,0.696
Vauxhall,Corsa,2022,12762.93,0.682
Vauxhall,Corsa,2023,12388.79,0.694
Vauxhall,Corsa,2024,12374.74,0.686
Vauxhall,Astra,2004,18405.33,0.759
Vauxhall,Astra,2005,18429.44,0.742
Vauxhall,Astra,2006,18702.04,0.754
Vauxhall,Astra,2007,17326.85,0.734
Vauxhall,Astra,2008,18347.57,0.735
Vauxhall,Astra,2009,18013.13,0.772
Vauxhall,Astra,2010,17107.21,0.728
Vauxhall,Astra,2011,18887.55,0.754
Vauxhall,Astra,2012,17328.44,0.768
Vauxhall,Astra,2013,18684.68,0.752
Vauxhall,Astra,2014,18219.23,0.74
Vauxhall,Astra,2015,17190.94,0.754
Vauxhall,Astra,2016,17630.56,0.757
Vauxhall,Astra,2017,18605.24,0.728
Vauxhall,Astra,2018,18172.28,0.738
Vauxhall,Astra,2019,18673.0,0.739
Vauxhall,Astra,2020,18199.39,0.752
Vauxhall,Astra,2021,17813.1,0.758
Vauxhall,Astra,2022,18406.39,0.753
Vauxhall,Astra,2023,18465.16,0.772
Vauxhall,Astra,2024,17854.69,0.751
Vauxhall,Mokka,2004,20927.43,0.814
Vauxhall,Mokka,2005,22044.51,0.796
Vauxhall,Mokka,2006,21106.96,0.819
Vauxhall,Mokka,2007,21769.02,0.809
Vauxhall,Mokka,2008,21228.62,0.822
Vauxhall,Mokka,2009,21292.57,0.786
Vauxhall,Mokka,2010,22789.76,0.82
Vauxhall,Mokka,2011,21366.72,0.799
Vauxhall,Mokka,2012,22513.69,0.818
Vauxhall,Mokka,2013,21733.92,0.801
Vauxhall,Mokka,2014,22531.78,0.811
Vauxhall,Mokka,2015,22622.51,0.803
Vauxhall,Mokka,2016,21130.15,0.819
Vauxhall,Mokka,2017,22804.26,0.814
Vauxhall,Mokka,2018,21119.7,0.786
Vauxhall,Mokka,2019,22535.92,0.777
Vauxhall,Mokka,2020,23054.29,0.794
Vauxhall,Mokka,2021,22482.49,0.819
Vauxhall,Mokka,2022,21768.19,0.791
Vauxhall,Mokka,2023,22239.23,0.804
Vauxhall,Mokka,2024,21800.11,0.805
Vauxhall,Insignia,2004,26088.45,0.848
Vauxhall,Insignia,2005,24241.86,0.844
Vauxhall,Insignia,2006,24735.27,0.831
Vauxhall,Insignia,2007,24157.18,0.859
Vauxhall,Insignia,2008,24598.69,0.873
Vauxhall,Insignia,2009,24358.99,0.83
Vauxhall,Insignia,2010,25633.76,0.869
Vauxhall,Insignia,2011,24445.28,0.835
Vauxhall,Insignia,2012,24214.42,0.851
Vauxhall,Insignia,2013,24921.04,0.838
Vauxhall,Insignia,2014,23862.93,0.849
Vauxhall,Insignia,2015,26148.33,0.858
Vauxhall,Insignia,2016,24988.77,0.83
Vauxhall,Insignia,2017,24381.09,0.84
Vauxhall,Insignia,2018,25662.01,0.869
Vauxhall,Insignia,2019,26004.1,0.875
Vauxhall,Insignia,2020,26205.92,0.873
Vauxhall,Insignia,2021,23929.56,0.832
Vauxhall,Insignia,2022,24511.17,0.853
Vauxhall,Insignia,2023,23992.44,0.868
Vauxhall,Insignia,2024,25291.89,0.852
Audi,A3,2004,28995.93,1.724
Audi,A3,2005,28980.94,1.787
Audi,A3,2006,30252.68,1.775
Audi,A3,2007,29388.1,1.736
Audi,A3,2008,29714.56,1.777
Audi,A3,2009,30817.06,1.719
Audi,A3,2010,31324.62,1.71
Audi,A3,2011,31188.37,1.708
Audi,A3,2012,29293.62,1.786
Audi,A3,2013,29038.48,1.741
Audi,A3,2014,29849.58,1.723
Audi,A3,2015,30630.74,1.787
Audi,A3,2016,31123.73,1.733
Audi,A3,2017,30092.55,1.724
Audi,A3,2018,29234.39,1.714
Audi,A3,2019,31320.06,1.791
Audi,A3,2020,30832.08,1.752
Audi,A3,2021,29971.82,1.753
Audi,A3,2022,30109.7,1.743
Audi,A3,2023,28895.26,1.711
Audi,A3,2024,31356.75,1.748
Audi,A4,2004,39722.18,1.764
Audi,A4,2005,38206.78,1.768
Audi,A4,2006,37062.1,1.749
Audi,A4,2007,36552.02,1.845
Audi,A4,2008,37321.83,1.812
Audi,A4,2009,37867.05,1.789
Audi,A4,2010,38121.17,1.766
Audi,A4,2011,39856.69,1.834
Audi,A4,2012,38918.14,1.797
Audi,A4,2013,36680.93,1.845
Audi,A4,2014,37397.27,1.751
Audi,A4,2015,37401.13,1.832
Audi,A4,2016,38466.29,1.827
Audi,A4,2017,39115.81,1.769
Audi,A4,2018,39610.38,1.793
Audi,A4,2019,38528.25,1.746
Audi,A4,2020,39874.8,1.776
Audi,A4,2021,36335.84,1.795
Audi,A4,2022,36590.31,1.762
Audi,A4,2023,38502.67,1.788
Audi,A4,2024,39603.04,1.78
Audi,A6,2004,49085.66,1.896
Audi,A6,2005,48767.77,1.911
Audi,A6,2006,47869.36,1.951
Audi,A6,2007,47245.03,1.863
Audi,A6,2008,48854.85,1.939
Audi,A6,2009,45793.22,1.894
Audi,A6,2010,49883.94,1.928
Audi,A6,2011,50360.68,1.904
Audi,A6,2012,48767.98,1.877
Audi,A6,2013,50148.17,1.885
Audi,A6,2014,49144.85,1.889
Audi,A6,2015,48296.73,1.925
Audi,A6,2016,48042.88,1.946
Audi,A6,2017,47612.64,1.917
Audi,A6,2018,47243.34,1.89
Audi,A6,2019,47712.24,1.857
Audi,A6,2020,46040.27,1.919
Audi,A6,2021,48746.49,1.919
Audi,A6,2022,45694.88,1.88
Audi,A6,2023,46549.49,1.932
Audi,A6,2024,49731.03,1.871
Audi,Q3,2004,35587.47,1.711
Audi,Q3,2005,34213.03,1.712
Audi,Q3,2006,34242.32,1.768
Audi,Q3,2007,36436.14,1.719
Audi,Q3,2008,35147.28,1.771
Audi,Q3,2009,36585.23,1.762
Audi,Q3,2010,34142.87,1.763
Audi,Q3,2011,34371.72,1.8
Audi,Q3,2012,34648.87,1.769
Audi,Q3,2013,33331.3,1.74
Audi,Q3,2014,36312.88,1.762
Audi,Q3,2015,34803.8,1.796
Audi,Q3,2016,36238.95,1.731
Audi,Q3,2017,35155.92,1.749
Audi,Q3,2018,35462.71,1.733
Audi,Q3,2019,34104.72,1.793
Audi,Q3,2020,36483.56,1.786
Audi,Q3,2021,36673.72,1.776
Audi,Q3,2022,35926.34,1.778
Audi,Q3,2023,34932.13,1.745
Audi,Q3,2024,34090.79,1.765
Audi,Q5,2004,44051.94,1.823
Audi,Q5,2005,45386.83,1.84
Audi,Q5,2006,43734.85,1.885
Audi,Q5,2007,46622.56,1.813
Audi,Q5,2008,42783.78,1.832
Audi,Q5,2009,46338.8,1.888
Audi,Q5,2010,43372.48,1.88
Audi,Q5,2011,43270.67,1.838
Audi,Q5,2012,47243.74,1.816
Audi,Q5,2013,43442.84,1.841
Audi,Q5,2014,45538.51,1.898
Audi,Q5,2015,47163.7,1.802
Audi,Q5,2016,43370.99,1.882
Audi,Q5,2017,43967.84,1.893
Audi,Q5,2018,45735.54,1.807
Audi,Q5,2019,46496.38,1.814
Audi,Q5,2020,44655.73,1.856
Audi,Q5,2021,45003.45,1.871
Audi,Q5,2022,45687.09,1.905
Audi,Q5,2023,47247.4,1.852
Audi,Q5,2024,43178.4,1.875
Honda,Jazz,2004,16762.66,0.841
Honda,Jazz,2005,15937.93,0.846
Honda,Jazz,2006,15282.27,0.859
Honda,Jazz,2007,15765.34,0.865
Honda,Jazz,2008,16531.39,0.866
Honda,Jazz,2009,15866.67,0.841
Honda,Jazz,2010,16398.11,0.865
Honda,Jazz,2011,15986.01,0.87
Honda,Jazz,2012,15430.25,0.869
Honda,Jazz,2013,15353.75,0.832
Honda,Jazz,2014,16054.14,0.828
Honda,Jazz,2015,15284.49,0.825
Honda,Jazz,2016,15898.11,0.864
Honda,Jazz,2017,15255.74,0.858
Honda,Jazz,2018,16517.0,0.833
Honda,Jazz,2019,15434.98,0.868
Honda,Jazz,2020,16517.0,0.852
Honda,Jazz,2021,16510.72,0.829
Honda,Jazz,2022,15831.17,0.862
Honda,Jazz,2023,15611.92,0.863
Honda,Jazz,2024,16006.69,0.863
Honda,Civic,2004,21922.3,0.873
Honda,Civic,2005,21382.22,0.865
Honda,Civic,2006,22553.28,0.86
Honda,Civic,2007,21089.16,0.863
Honda,Civic,2008,21285.76,0.897
Honda,Civic,2009,21776.71,0.906
Honda,Civic,2010,21201.86,0.888
Honda,Civic,2011,21887.2,0.874
Honda,Civic,2012,22825.19,0.905
Honda,Civic,2013,22820.29,0.864
Honda,Civic,2014,21385.76,0.888
Honda,Civic,2015,21535.98,0.892
Honda,Civic,2016,22146.13,0.883
Honda,Civic,2017,22722.8,0.891
Honda,Civic,2018,20958.47,0.856
Honda,Civic,2019,22223.43,0.879
Honda,Civic,2020,21472.41,0.876
Honda,Civic,2021,22567.4,0.897
Honda,Civic,2022,22134.69,0.874
Honda,Civic,2023,21495.53,0.881
Honda,Civic,2024,21592.45,0.883
Honda,HR-V,2004,25441.63,0.877
Honda,HR-V,2005,23752.67,0.884
Honda,HR-V,2006,25986.28,0.908
Honda,HR-V,2007,24179.9,0.921
Honda,HR-V,2008,24924.89,0.899
Honda,HR-V,2009,26088.85,0.876
Honda,HR-V,2010,24287.95,0.905
Honda,HR-V,2011,24238.72,0.91
Honda,HR-V,2012,24285.23,0.878
Honda,HR-V,2013,24267.46,0.896
Honda,HR-V,2014,24190.35,0.88
Honda,HR-V,2015,25900.7,0.89
Honda,HR-V,2016,24651.9,0.876
Honda,HR-V,2017,24643.42,0.887
Honda,HR-V,2018,25276.21,0.884
Honda,HR-V,2019,25970.91,0.923
Honda,HR-V,2020,23999.58,0.879
Honda,HR-V,2021,24038.32,0.906
Honda,HR-V,2022,24054.92,0.919
Honda,HR-V,2023,25635.68,0.917
Honda,HR-V,2024,25065.15,0.927
Honda,CR-V,2004,28632.53,0.915
Honda,CR-V,2005,29471.81,0.945
Honda,CR-V,2006,30230.58,0.937
Honda,CR-V,2007,29011.02,0.946
Honda,CR-V,2008,29995.92,0.92
Honda,CR-V,2009,31412.65,0.913
Honda,CR-V,2010,29692.58,0.925
Honda,CR-V,2011,28884.16,0.91
Honda,CR-V,2012,29079.62,0.898
Honda,CR-V,2013,31098.43,0.925
Honda,CR-V,2014,29576.02,0.915
Honda,CR-V,2015,29794.56,0.927
Honda,CR-V,2016,31280.31,0.944
Honda,CR-V,2017,29674.48,0.911
Honda,CR-V,2018,29853.14,0.924
Honda,CR-V,2019,29885.45,0.929
Honda,CR-V,2020,30163.2,0.91
Honda,CR-V,2021,29537.19,0.913
Honda,CR-V,2022,28783.92,0.902
Honda,CR-V,2023,30669.34,0.914
Honda,CR-V,2024,29143.62,0.923
