claim_id,policy_id,claim_date,incident_date,policy_start_date,policy_expiry_date,report_delay_days,vehicle_make,vehicle_model,vehicle_type,damage_type,damage_location,damage_severity,agent_channel,coverage_type,is_weekend_claim,has_prior_claims,car_driveable,vehicle_age_years,mileage,driver_age,prior_claims_count,customer_tenure_years,manufacture_year,typical_market_value_gbp,part_cost_index,vehicle_value,repair_estimate_gbp,repair_to_value_ratio,is_high_value_vehicle,pre_ml_decision,pre_ml_label,repair_decision
CLM000015,POL002504,2018-01-09,2018-01-01,2012-05-20,2013-05-20,8,Mercedes,C-Class,Motorbike,fire,front,moderate,broker,comprehensive,False,False,True,10,43676,78,2,16,2008,39137.59,1.878,7827.52,3756.0,0.4798,False,0.0,0.0,sent_to_garage
CLM000017,POL003132,2018-07-08,2018-06-18,2013-06-09,2014-06-09,20,Ford,Kuga,SUV,vandalism,front,severe,phone,third_party_fire_theft,True,False,False,3,86349,34,1,5,2015,27828.95,0.874,21150.0,4370.0,0.2066,True,0.0,1.0,sent_to_garage
CLM000018,POL000361,2017-08-18,2017-08-05,2016-06-08,2017-06-08,13,Honda,Civic,Van,vandalism,roof,moderate,direct,comprehensive,False,True,False,17,154855,56,1,13,2000,,,,,,False,0.0,1.0,sent_to_garage
CLM000019,POL004674,2020-12-06,2020-11-26,2013-09-29,2014-09-29,10,Vauxhall,Insignia,Sedan,collision,side,severe,app,third_party_fire_theft,True,False,True,11,104356,40,2,7,2009,24358.99,0.83,2923.08,3320.0,1.1358,False,1.0,1.0,scrapped_by_handler
CLM000020,POL003567,2018-11-14,2018-11-01,2012-06-26,2013-06-26,13,Honda,CR-V,Sedan,collision,rear,minor,app,third_party,False,False,True,7,189058,48,3,3,2011,28884.16,0.91,12709.03,409.5,0.0322,False,0.0,0.0,sent_to_garage
CLM000021,POL004281,2020-02-01,2020-01-08,2015-07-07,2016-07-06,24,Toyota,RAV4,Sedan,vandalism,side,minor,direct,third_party_fire_theft,True,False,False,6,199625,28,1,16,2014,30782.95,0.893,16007.13,357.2,0.0223,False,0.0,0.0,sent_to_garage
CLM000023,POL006118,2016-09-14,2016-09-09,2014-06-09,2015-06-09,5,Toyota,RAV4,Estate,collision,roof,moderate,phone,comprehensive,False,True,True,17,87027,19,0,2,1999,,,,,,False,0.0,1.0,sent_to_garage
CLM000024,POL005044,2020-07-31,2020-07-22,2019-05-19,2020-05-18,9,BMW,5 Series,SUV,fire,multiple,minor,app,comprehensive,False,True,False,11,132853,42,2,5,2009,46609.07,1.896,5593.09,1516.8,0.2712,False,0.0,0.0,sent_to_garage
CLM000025,POL004396,2016-03-12,2016-02-27,2014-12-08,2015-12-08,14,Vauxhall,Mokka,Motorbike,flood,rear,moderate,online,comprehensive,True,False,True,4,132804,32,2,15,2012,22513.69,0.818,15309.31,1472.4,0.0962,False,0.0,0.0,sent_to_garage
CLM000026,POL001100,2016-05-24,2016-04-29,2013-08-05,2014-08-05,25,Nissan,Leaf,Sedan,theft_damage,front,minor,direct,third_party,False,False,False,6,38553,76,0,4,2010,29789.87,0.996,15490.73,498.0,0.0321,False,0.0,1.0,sent_to_garage
CLM000027,POL002636,2016-10-31,2016-10-25,2015-07-06,2016-07-05,6,Mercedes,A-Class,Hatchback,theft_damage,roof,minor,direct,comprehensive,False,True,True,16,188874,60,0,3,2000,,,,,,False,0.0,1.0,sent_to_garage
CLM000028,POL000248,2017-06-15,2017-05-22,2014-09-30,2015-09-30,24,BMW,1 Series,Estate,collision,multiple,severe,broker,comprehensive,False,True,True,9,58749,35,0,14,2008,29197.18,1.69,8175.21,13520.0,1.6538,False,1.0,1.0,scrapped_by_handler
CLM000029,POL000872,2019-02-22,2019-01-25,2013-08-06,2014-08-06,28,Audi,A6,Hatchback,vandalism,front,moderate,app,third_party,False,True,False,6,100736,30,2,14,2013,50148.17,1.885,26077.05,3770.0,0.1446,True,0.0,0.0,sent_to_garage
CLM000032,POL006050,2016-12-05,2016-11-08,2013-02-07,2014-02-07,27,Honda,HR-V,Estate,vandalism,multiple,moderate,broker,comprehensive,False,True,True,12,15907,28,3,17,2004,25441.63,0.877,2544.16,3069.5,1.2065,False,1.0,1.0,scrapped_by_handler
CLM000034,POL002092,2021-09-18,2021-09-07,2016-07-03,2017-07-03,11,Mercedes,A-Class,Estate,fire,rear,moderate,app,third_party_fire_theft,True,False,True,19,169971,32,1,20,2002,,,,,,False,0.0,0.0,sent_to_garage
CLM000035,POL002652,2020-12-24,2020-12-15,2016-01-21,2017-01-20,9,BMW,5 Series,Motorbike,collision,roof,severe,phone,third_party,False,False,False,19,96532,26,1,1,2001,,,,,,False,1.0,1.0,scrapped_by_handler
CLM000037,POL000734,2020-05-11,2020-04-28,2014-02-20,2015-02-20,13,Mercedes,E-Class,Sedan,vandalism,multiple,minor,online,comprehensive,False,False,True,2,193018,33,0,0,2018,50060.06,2.035,42050.45,1628.0,0.0387,True,0.0,1.0,sent_to_garage
CLM000038,POL002687,2018-05-22,2018-05-22,2016-07-25,2017-07-25,0,Toyota,RAV4,Van,fire,side,moderate,app,third_party_fire_theft,False,False,True,13,159944,33,1,18,2005,31406.24,0.918,3140.62,1377.0,0.4384,False,0.0,1.0,sent_to_garage
CLM000039,POL001282,2020-10-06,2020-09-14,2012-02-10,2013-02-09,22,Ford,Mondeo,Sedan,collision,rear,moderate,direct,comprehensive,False,True,False,12,7364,66,2,13,2008,21881.54,0.844,2188.15,1519.2,0.6943,False,0.0,0.0,sent_to_garage
CLM000042,POL004702,2017-07-12,2017-06-16,2016-11-12,2017-11-12,26,Hyundai,i30,Van,collision,multiple,severe,direct,third_party,False,False,True,19,883,45,1,13,1998,,,,,,False,1.0,1.0,scrapped_by_handler
CLM000044,POL001764,2018-07-24,2018-06-27,2017-08-10,2018-08-10,27,Vauxhall,Corsa,Hatchback,theft_damage,multiple,minor,app,third_party,False,False,True,15,107034,57,2,19,2003,,,,,,False,0.0,0.0,sent_to_garage
CLM000046,POL004545,2018-10-21,2018-09-28,2013-08-22,2014-08-22,23,Mercedes,A-Class,Estate,fire,front,moderate,phone,third_party_fire_theft,True,True,False,8,39698,20,0,12,2010,28615.63,1.819,10301.63,3638.0,0.3531,False,0.0,1.0,sent_to_garage
CLM000047,POL002188,2016-07-27,2016-07-19,2013-07-27,2014-07-27,8,Honda,Jazz,Hatchback,collision,roof,minor,online,comprehensive,False,False,True,9,34808,35,0,8,2007,15765.34,0.865,4414.3,519.0,0.1176,False,0.0,0.0,sent_to_garage
CLM000049,POL003854,2021-04-19,2021-03-24,2014-06-21,2015-06-21,26,Nissan,Micra,SUV,vandalism,roof,moderate,phone,third_party,False,False,True,10,59777,29,0,15,2011,13178.89,0.759,2635.78,1897.5,0.7199,False,0.0,0.0,sent_to_garage
CLM000050,POL000790,2017-12-06,2017-11-11,2017-01-24,2018-01-24,25,Mercedes,A-Class,Sedan,flood,multiple,moderate,app,third_party,False,True,True,0,114067,63,0,4,2017,29311.03,1.763,29311.03,6170.5,0.2105,True,0.0,1.0,sent_to_garage
CLM000051,POL001129,2016-01-02,2015-12-20,2015-01-19,2016-01-19,13,Nissan,Juke,Motorbike,flood,front,moderate,broker,third_party_fire_theft,True,False,True,1,69044,63,0,10,2015,19139.86,0.849,17608.67,1698.0,0.0964,False,0.0,0.0,sent_to_garage
CLM000052,POL000042,2017-02-28,2017-02-07,2013-09-12,2014-09-12,21,Audi,Q5,Van,collision,side,minor,online,comprehensive,False,False,False,18,112573,31,2,20,1999,,,,,,False,0.0,0.0,sent_to_garage
CLM000053,POL004444,2017-07-12,2017-07-01,2013-09-22,2014-09-22,11,Vauxhall,Insignia,Van,vandalism,rear,minor,online,third_party,False,True,False,7,131158,32,3,14,2010,25633.76,0.869,11278.85,391.05,0.0347,False,0.0,1.0,sent_to_garage
CLM000055,POL003982,2017-08-04,2017-07-15,2012-08-30,2013-08-30,20,Honda,Jazz,Estate,flood,rear,moderate,broker,comprehensive,False,True,False,1,95111,68,1,9,2016,15898.11,0.864,14626.26,1555.2,0.1063,False,0.0,0.0,sent_to_garage
CLM000056,POL004409,2017-06-16,2017-06-02,2012-11-11,2013-11-11,14,Mercedes,E-Class,Motorbike,flood,front,minor,online,third_party_fire_theft,False,False,True,2,67265,65,0,19,2015,53909.98,2.025,45284.38,1012.5,0.0224,True,0.0,0.0,sent_to_garage
CLM000059,POL000790,2017-11-17,2017-11-08,2015-12-25,2016-12-24,9,BMW,3 Series,Hatchback,vandalism,roof,severe,direct,comprehensive,False,False,True,2,22361,45,1,0,2015,35632.5,1.789,29931.3,10734.0,0.3586,True,0.0,1.0,sent_to_garage
CLM000060,POL000647,2021-11-08,2021-10-21,2014-10-05,2015-10-05,18,BMW,X5,Sedan,vandalism,side,moderate,online,comprehensive,False,True,False,11,190395,48,1,19,2010,65890.98,1.955,7906.92,2932.5,0.3709,False,0.0,0.0,sent_to_garage
CLM000061,POL003775,2020-10-22,2020-10-11,2019-07-16,2020-07-15,11,Audi,A3,Van,vandalism,roof,minor,online,comprehensive,False,False,False,5,32198,51,0,10,2015,30630.74,1.787,18378.44,1072.2,0.0583,True,0.0,0.0,sent_to_garage
CLM000062,POL002661,2021-03-11,2021-02-12,2013-08-16,2014-08-16,27,Nissan,Leaf,Sedan,collision,roof,minor,app,comprehensive,False,False,False,3,168720,38,1,15,2018,29685.7,1.015,22561.13,609.0,0.027,True,0.0,0.0,sent_to_garage
CLM000063,POL003192,2018-10-20,2018-09-24,2018-08-03,2019-08-03,26,Hyundai,i20,Van,fire,front,minor,broker,comprehensive,True,True,True,5,89403,37,0,1,2013,16737.0,0.79,10042.2,395.0,0.0393,False,0.0,0.0,sent_to_garage
CLM000068,POL001717,2016-12-29,2016-12-23,2013-05-06,2014-05-06,6,Vauxhall,Astra,Van,theft_damage,front,moderate,phone,third_party_fire_theft,False,False,True,11,136995,50,1,20,2005,18429.44,0.742,2211.53,1484.0,0.671,False,0.0,0.0,sent_to_garage
CLM000069,POL000175,2021-11-29,2021-11-03,2018-10-10,2019-10-10,26,Ford,Focus,Hatchback,vandalism,multiple,minor,direct,third_party_fire_theft,False,False,True,4,163126,43,2,14,2017,17155.47,0.797,11665.72,637.6,0.0547,False,0.0,1.0,sent_to_garage
CLM000071,POL001212,2020-10-26,2020-10-21,2017-04-27,2018-04-27,5,Audi,Q5,Sedan,fire,side,minor,phone,comprehensive,False,True,False,15,111984,31,0,16,2005,45386.83,1.84,4538.68,736.0,0.1622,False,0.0,1.0,sent_to_garage
CLM000073,POL004819,2019-02-19,2019-01-28,2014-05-06,2015-05-06,22,Nissan,Qashqai,SUV,vandalism,rear,moderate,phone,third_party,False,True,False,3,101514,32,0,7,2016,29385.51,0.92,22332.99,1656.0,0.0742,True,0.0,0.0,sent_to_garage
CLM000076,POL001589,2021-08-07,2021-08-06,2015-06-14,2016-06-13,1,Nissan,Juke,Van,flood,multiple,severe,broker,comprehensive,True,True,True,19,130375,48,0,0,2002,,,,,,False,1.0,1.0,scrapped_by_handler
CLM000078,POL003738,2020-09-14,2020-09-02,2013-04-07,2014-04-07,12,Toyota,Corolla,SUV,flood,roof,moderate,app,comprehensive,False,False,False,7,104639,71,0,18,2013,21799.32,0.836,9591.7,2090.0,0.2179,False,0.0,0.0,sent_to_garage
CLM000079,POL003146,2018-11-07,2018-10-10,2013-02-11,2014-02-11,28,Nissan,Leaf,Van,flood,rear,minor,broker,comprehensive,False,True,True,5,145625,30,0,14,2013,31005.38,0.983,18603.23,442.35,0.0238,True,0.0,0.0,sent_to_garage
CLM000080,POL004427,2020-10-28,2020-10-04,2014-12-08,2015-12-08,24,Ford,Kuga,Estate,theft_damage,front,minor,online,third_party_fire_theft,False,True,True,11,159293,37,0,14,2009,29283.97,0.899,3514.08,449.5,0.1279,False,0.0,1.0,sent_to_garage
CLM000082,POL002295,2016-02-19,2016-02-07,2015-08-20,2016-08-19,12,BMW,X3,Hatchback,collision,multiple,moderate,app,third_party_fire_theft,False,True,True,11,9322,36,0,18,2005,46005.57,1.898,5520.67,6643.0,1.2033,False,1.0,1.0,scrapped_by_handler
CLM000083,POL004597,2017-11-05,2017-10-27,2013-12-27,2014-12-27,9,Honda,CR-V,Estate,fire,multiple,minor,app,third_party_fire_theft,True,False,False,17,142791,17,1,14,2000,,,,,,False,0.0,1.0,sent_to_garage
CLM000084,POL000943,2020-06-29,2020-06-04,2012-11-12,2013-11-12,25,Toyota,RAV4,Estate,flood,front,minor,direct,third_party,False,True,True,3,28080,43,1,6,2017,32600.53,0.911,24776.4,455.5,0.0184,True,0.0,0.0,sent_to_garage
CLM000085,POL000129,2019-01-20,2019-01-17,2016-05-12,2017-05-12,3,Volkswagen,Golf,Van,theft_damage,front,moderate,phone,comprehensive,True,True,True,16,159303,49,1,19,2003,,,,,,False,0.0,1.0,sent_to_garage
CLM000086,POL000509,2021-08-12,2021-08-09,2021-03-18,2022-03-18,3,Honda,Jazz,Motorbike,fire,front,minor,app,third_party_fire_theft,False,False,False,19,128849,37,0,9,2002,,,,,,False,0.0,0.0,sent_to_garage
CLM000087,POL004079,2019-03-31,2019-03-30,2019-03-14,2020-03-13,1,Toyota,Yaris,Van,vandalism,roof,severe,online,third_party_fire_theft,True,True,False,12,162008,38,1,20,2007,14607.83,0.817,1460.78,4902.0,2.0,False,1.0,1.0,scrapped_by_handler
CLM000088,POL002609,2021-12-05,2021-11-20,2013-01-24,2014-01-24,15,Volkswagen,Polo,Sedan,collision,multiple,moderate,broker,comprehensive,True,True,True,13,142580,37,0,18,2008,16324.85,0.907,1632.48,3174.5,1.9446,False,1.0,1.0,scrapped_by_handler
CLM000089,POL000911,2016-12-15,2016-12-13,2015-12-06,2016-12-05,2,Vauxhall,Insignia,Hatchback,vandalism,multiple,severe,direct,comprehensive,False,True,False,0,113068,30,0,3,2016,24988.77,0.83,24988.77,6640.0,0.2657,True,0.0,1.0,sent_to_garage
CLM000090,POL002830,2018-12-27,2018-12-09,2014-07-12,2015-07-12,18,BMW,1 Series,Hatchback,fire,front,minor,online,comprehensive,False,False,False,17,41534,33,1,18,2001,,,,,,False,0.0,0.0,sent_to_garage
CLM000092,POL003932,2020-03-29,2020-03-02,2016-12-29,2017-12-29,27,Hyundai,Tucson,Motorbike,collision,side,minor,app,third_party,True,True,True,0,177242,49,1,16,2020,28192.73,0.869,28192.73,347.6,0.0123,True,0.0,0.0,sent_to_garage
CLM000094,POL002152,2021-09-22,2021-09-20,2020-02-24,2021-02-23,2,BMW,1 Series,Hatchback,theft_damage,multiple,moderate,online,comprehensive,False,True,False,1,141387,34,1,8,2020,27251.39,1.703,25071.28,5960.5,0.2377,True,0.0,0.0,sent_to_garage
CLM000095,POL001703,2018-12-15,2018-11-24,2018-03-24,2019-03-24,21,Vauxhall,Insignia,Motorbike,flood,multiple,moderate,direct,comprehensive,True,False,False,15,98654,56,2,3,2003,,,,,,False,0.0,0.0,sent_to_garage
CLM000096,POL003559,2019-11-08,2019-10-29,2013-02-15,2014-02-15,10,Volkswagen,Tiguan,Van,flood,rear,minor,direct,comprehensive,False,False,True,8,34419,59,1,16,2011,34842.91,1.101,12543.45,495.45,0.0395,False,0.0,0.0,sent_to_garage
CLM000099,POL000667,2016-04-26,2016-03-28,2016-01-28,2017-01-27,29,Vauxhall,Mokka,SUV,collision,roof,minor,phone,comprehensive,False,True,False,10,184433,28,1,18,2006,21106.96,0.819,4221.39,491.4,0.1164,False,0.0,0.0,sent_to_garage
CLM000101,POL005131,2020-06-01,2020-05-19,2013-08-15,2014-08-15,13,Honda,CR-V,Sedan,theft_damage,front,moderate,app,comprehensive,False,True,True,11,141545,30,2,1,2009,31412.65,0.913,3769.52,1826.0,0.4844,False,0.0,0.0,sent_to_garage
CLM000102,POL003952,2016-01-05,2015-12-10,2013-03-04,2014-03-04,26,Volkswagen,Passat,Sedan,flood,side,moderate,broker,comprehensive,False,True,True,17,32914,35,1,7,1999,,,,,,False,0.0,1.0,sent_to_garage
CLM000103,POL001502,2021-09-15,2021-09-09,2020-09-10,2021-09-10,6,Volkswagen,Tiguan,Motorbike,collision,multiple,minor,broker,comprehensive,False,False,False,8,34537,53,0,7,2013,33640.6,1.092,12110.62,873.6,0.0721,False,0.0,0.0,sent_to_garage
CLM000104,POL006085,2016-03-17,2016-02-20,2014-09-17,2015-09-17,26,Hyundai,Tucson,Sedan,flood,side,moderate,phone,third_party_fire_theft,False,False,True,16,187055,32,1,14,2000,,,,,,False,0.0,1.0,sent_to_garage
CLM000105,POL004398,2018-11-13,2018-10-15,2013-07-28,2014-07-28,29,Nissan,Micra,Van,vandalism,multiple,minor,app,third_party,False,True,False,7,186341,17,0,19,2011,13178.89,0.759,5798.71,607.2,0.1047,False,0.0,0.0,sent_to_garage
CLM000108,POL001538,2019-09-18,2019-09-01,2012-08-04,2013-08-04,17,Ford,Kuga,Hatchback,theft_damage,multiple,minor,phone,comprehensive,False,False,True,14,55867,48,1,10,2005,26889.53,0.905,2688.95,724.0,0.2693,False,0.0,1.0,sent_to_garage
CLM000111,POL002574,2020-01-11,2019-12-20,2014-10-25,2015-10-25,22,Nissan,Qashqai,Motorbike,vandalism,front,minor,broker,comprehensive,True,False,True,2,139214,41,1,6,2018,27724.65,0.887,23288.71,443.5,0.019,True,0.0,0.0,sent_to_garage
CLM000112,POL001143,2017-07-22,2017-06-26,2012-03-17,2013-03-17,26,Hyundai,i20,Hatchback,fire,rear,minor,online,comprehensive,True,False,True,18,125877,42,1,11,1999,,,,,,False,0.0,1.0,sent_to_garage
CLM000113,POL001728,2021-12-06,2021-12-03,2017-12-30,2018-12-30,3,BMW,5 Series,Hatchback,collision,front,moderate,phone,third_party_fire_theft,False,False,False,15,31569,52,0,12,2006,46257.65,1.916,4625.77,3832.0,0.8284,False,0.0,1.0,sent_to_garage
CLM000114,POL003271,2016-02-15,2016-01-22,2015-09-15,2016-09-14,24,Toyota,Camry,Van,fire,roof,severe,phone,third_party,False,True,True,7,184325,28,0,16,2009,29376.18,0.879,12925.52,5274.0,0.408,False,0.0,0.0,sent_to_garage
CLM000116,POL004838,2019-06-29,2019-06-04,2019-04-23,2020-04-22,25,Nissan,Qashqai,SUV,fire,side,severe,online,third_party_fire_theft,True,True,True,8,79950,43,1,19,2011,27936.16,0.9,10057.02,3600.0,0.358,False,0.0,1.0,sent_to_garage
CLM000119,POL002440,2020-04-03,2020-03-06,2017-05-12,2018-05-12,28,Audi,A4,SUV,theft_damage,roof,severe,broker,third_party,False,True,True,11,167224,28,1,1,2009,37867.05,1.789,4544.05,10734.0,2.0,False,1.0,1.0,scrapped_by_handler
CLM000123,POL000477,2016-11-04,2016-10-20,2012-09-14,2013-09-14,15,Ford,Focus,Van,collision,multiple,minor,online,comprehensive,False,True,True,2,32770,59,4,4,2014,18117.42,0.813,15218.63,650.4,0.0427,False,0.0,0.0,sent_to_garage
CLM000124,POL002348,2020-05-10,2020-04-10,2012-05-15,2013-05-15,30,Hyundai,Tucson,SUV,theft_damage,rear,severe,broker,comprehensive,True,True,True,2,167234,55,0,9,2018,27206.54,0.89,22853.49,4005.0,0.1752,True,0.0,0.0,sent_to_garage
CLM000127,POL001863,2020-02-01,2020-01-08,2019-01-27,2020-01-27,24,Toyota,RAV4,Sedan,fire,rear,severe,app,comprehensive,True,False,True,10,178008,45,0,8,2010,31404.46,0.913,6280.89,4108.5,0.6541,False,0.0,0.0,sent_to_garage
CLM000128,POL000817,2016-08-19,2016-08-14,2012-02-05,2013-02-04,5,BMW,3 Series,Motorbike,fire,rear,moderate,phone,comprehensive,False,True,False,6,63448,36,1,0,2010,36473.4,1.764,18966.17,3175.2,0.1674,True,0.0,0.0,sent_to_garage
CLM000129,POL000584,2018-07-16,2018-06-26,2016-07-02,2017-07-02,20,Nissan,Leaf,SUV,collision,rear,severe,phone,comprehensive,False,True,False,16,159185,32,0,20,2002,,,,,,False,1.0,1.0,scrapped_by_handler
CLM000130,POL003319,2021-02-24,2021-02-09,2016-02-19,2017-02-18,15,Mercedes,E-Class,Van,vandalism,side,severe,app,comprehensive,False,False,False,8,32008,54,1,13,2013,50384.69,1.974,18138.49,7896.0,0.4353,True,0.0,0.0,sent_to_garage
CLM000131,POL000964,2021-10-10,2021-10-04,2018-04-23,2019-04-23,6,Volkswagen,Tiguan,SUV,fire,multiple,minor,phone,third_party_fire_theft,True,True,True,20,186528,25,1,19,2001,,,,,,False,0.0,1.0,sent_to_garage
CLM000133,POL003282,2016-11-01,2016-10-06,2014-02-23,2015-02-23,26,Volkswagen,Golf,Estate,fire,rear,moderate,phone,comprehensive,False,False,True,16,69735,27,0,20,2000,,,,,,False,0.0,1.0,sent_to_garage
CLM000134,POL001959,2019-07-26,2019-07-01,2015-08-23,2016-08-22,25,Vauxhall,Astra,Van,fire,front,moderate,app,comprehensive,False,True,True,6,106228,47,0,0,2013,18684.68,0.752,9716.03,1504.0,0.1548,False,0.0,0.0,sent_to_garage
CLM000135,POL003337,2018-06-13,2018-05-18,2015-03-31,2016-03-30,26,Honda,HR-V,Motorbike,theft_damage,rear,moderate,phone,third_party,False,False,True,11,78530,63,2,0,2007,24179.9,0.921,2901.59,1657.8,0.5713,False,0.0,0.0,sent_to_garage
CLM000137,POL005860,2017-06-29,2017-06-15,2015-11-25,2016-11-24,14,Mercedes,A-Class,Motorbike,collision,side,moderate,app,comprehensive,False,False,True,8,5817,38,2,11,2009,30236.93,1.746,10885.29,2619.0,0.2406,False,0.0,0.0,sent_to_garage
CLM000138,POL002724,2017-12-26,2017-12-25,2014-09-09,2015-09-09,1,Hyundai,i10,SUV,collision,front,moderate,broker,comprehensive,False,True,True,2,56232,27,1,15,2015,11594.33,0.756,9739.24,1512.0,0.1552,False,0.0,0.0,sent_to_garage
CLM000139,POL004420,2018-09-05,2018-08-07,2014-05-09,2015-05-09,29,Hyundai,i30,Motorbike,vandalism,front,moderate,online,comprehensive,False,True,True,14,199344,42,1,15,2004,20423.84,0.823,2042.38,1646.0,0.8059,False,0.0,1.0,sent_to_garage
CLM000140,POL000468,2016-12-13,2016-11-29,2012-03-17,2013-03-17,14,BMW,3 Series,Hatchback,collision,side,moderate,broker,comprehensive,False,False,True,18,52996,44,0,14,1998,,,,,,False,0.0,0.0,sent_to_garage
CLM000141,POL002748,2021-10-16,2021-09-27,2019-08-18,2020-08-17,19,Vauxhall,Mokka,Motorbike,vandalism,rear,minor,broker,third_party_fire_theft,True,True,False,13,171606,17,2,5,2008,21228.62,0.822,2122.86,369.9,0.1742,False,0.0,1.0,sent_to_garage
CLM000142,POL002771,2020-09-20,2020-09-20,2013-12-21,2014-12-21,0,Toyota,Yaris,Van,vandalism,rear,moderate,phone,third_party_fire_theft,True,True,True,7,134462,17,1,17,2013,15367.78,0.806,6761.82,1450.8,0.2146,False,0.0,0.0,sent_to_garage
CLM000143,POL005421,2021-01-07,2020-12-11,2015-12-01,2016-11-30,27,Honda,HR-V,Estate,vandalism,rear,moderate,online,third_party_fire_theft,False,True,True,4,120275,22,1,19,2017,24643.42,0.887,16757.53,1596.6,0.0953,False,0.0,0.0,sent_to_garage
CLM000145,POL002674,2019-11-24,2019-10-27,2018-03-13,2019-03-13,28,Volkswagen,Tiguan,Van,fire,multiple,moderate,phone,comprehensive,True,True,True,9,186203,38,1,6,2010,34111.23,1.071,9551.14,3748.5,0.3925,False,0.0,0.0,sent_to_garage
CLM000146,POL001508,2018-10-20,2018-10-15,2014-05-09,2015-05-09,5,BMW,1 Series,Estate,theft_damage,rear,severe,broker,comprehensive,True,True,True,17,102037,33,2,20,2001,,,,,,False,1.0,1.0,scrapped_by_handler
CLM000147,POL001873,2019-05-18,2019-04-22,2015-07-03,2016-07-02,26,Audi,A3,SUV,theft_damage,roof,moderate,direct,comprehensive,True,False,True,12,172657,49,2,14,2007,29388.1,1.736,2938.81,4340.0,1.4768,False,1.0,1.0,scrapped_by_handler
CLM000149,POL002479,2020-10-02,2020-09-28,2017-06-24,2018-06-24,4,Audi,A4,Sedan,flood,rear,minor,direct,comprehensive,False,False,False,6,47570,30,0,3,2014,37397.27,1.751,19446.58,787.95,0.0405,True,0.0,0.0,sent_to_garage
CLM000150,POL000123,2017-07-10,2017-06-23,2012-11-04,2013-11-04,17,Volkswagen,Golf,Van,flood,front,moderate,phone,comprehensive,False,False,True,15,41936,43,1,4,2002,,,,,,False,0.0,1.0,sent_to_garage
